Order ID,Order Date,Product ID,Product Category,Buyer Gender,Buyer Age,Order Location,International Shipping,Sales Price,Shipping Charges,Sales per Unit,Quantity,Total Sales,Rating,Review
142933,23/07/2024,BF1550,Clothing,Male,19,New Jersey,No,97,0,97,4,388,3,Had slight delays but the product was in good shape.
188192,31/10/2024,BF1545,Other,Male,32,Cardiff,Yes,10,40,50,2,100,1,The promotion quality does not match the product
184678,08/06/2024,BF1551,Ornaments,Male,28,Sacramento,No,15,0,15,1,15,5,Discount deals was greatly appreciated.
128904,28/02/2024,BF1543,Clothing,Male,22,Sydney,Yes,100,100,200,3,600,5,The product was delivered quickly.
191045,29/11/2023,BF1550,Clothing,Male,20,Dublin,Yes,97,40,137,1,137,4,Exquisite craftsmanship here is absolutely appreciated.
163054,16/01/2024,BF1548,Clothing,Male,30,Glasgow,Yes,65,40,105,4,420,1,Careless handling by the delivery team.
121078,13/12/2023,BF1545,Other,Female,22,Austin,No,10,0,10,4,40,5,The product was affordable here compared to other brands.
180876,14/07/2024,BF1544,Other,Male,31,Sacramento,No,9,0,9,1,9,4,Great design is one of the major positives of this product.
155281,26/02/2024,BF1547,Ornaments,Male,22,Cleveland,No,32,0,32,3,96,5,Incredible detailing was clearly evident.
183087,16/02/2024,BF1548,Clothing,Male,25,Austin,No,65,0,65,1,65,2,The product had poor quality.
185910,09/07/2024,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,1,105,4,The product had excellent quality.
165100,12/10/2024,BF1545,Other,Male,29,Dublin,Yes,10,40,50,1,50,5,The Product exhibits good design.
167831,09/03/2024,BF1547,Ornaments,Male,22,New Jersey,No,32,0,32,1,32,5,The product had excellent quality.
185069,12/01/2024,BF1544,Other,Male,32,Cleveland,No,9,0,9,1,9,4,The Product exhibits good design.
153675,30/05/2024,BF1547,Ornaments,Male,31,Cardiff,Yes,32,40,72,5,360,5,Discount deals was greatly appreciated.
169012,10/06/2024,BF1544,Other,Female,21,New York,No,9,0,9,1,9,2,The promotion quality does not match the product
185868,14/01/2024,BF1545,Other,Female,18,Pittsburgh,No,10,0,10,1,10,4,Discount deals was greatly appreciated.
199507,10/05/2024,BF1545,Other,Male,22,Cleveland,No,10,0,10,2,20,3,Average product
187807,21/04/2024,BF1548,Clothing,Male,20,Pittsburgh,No,65,0,65,1,65,2,Never buying from here again.
131889,17/04/2024,BF1548,Clothing,Female,19,Montreal,Yes,65,25,90,1,90,4,The product was affordable here compared to other brands.
191650,11/07/2024,BF1548,Clothing,Male,35,Las Vegas,No,65,0,65,5,325,1,The promotion quality does not match the product
120961,28/08/2024,BF1548,Clothing,Female,23,Glasgow,Yes,65,40,105,1,105,3,The handling was questionable but incurred only minute damages.
123878,18/07/2024,BF1544,Other,Male,19,Toronto,Yes,9,25,34,1,34,4,Great design is one of the major positives of this product.
142003,22/07/2024,BF1548,Clothing,Male,32,Cardiff,Yes,65,40,105,1,105,5,Lack of delivery delays is greatly appreciated.
177177,12/05/2024,BF1549,Clothing,Male,33,Las Vegas,No,130,0,130,1,130,3,Had slight delays but the product was in good shape.
182615,18/02/2024,BF1550,Clothing,Female,26,Sacramento,No,97,0,97,5,485,2,Never buying from here again.
163266,23/06/2024,BF1551,Ornaments,Female,26,Mumbai,Yes,15,70,85,1,85,5,Premium quality as usual.
159105,20/04/2024,BF1545,Other,Male,21,London,Yes,10,40,50,1,50,4,The product was affordable here compared to other brands.
150308,09/06/2024,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,3,315,4,The product was delivered quickly.
125917,29/05/2024,BF1552,Ornaments,Male,28,London,Yes,45,40,85,1,85,5,Discount deals was greatly appreciated.
199874,26/02/2024,BF1552,Ornaments,Male,26,New Jersey,No,45,0,45,2,90,4,The product was delivered quickly.
175571,02/04/2024,BF1550,Clothing,Female,21,Memphis,No,97,0,97,1,97,4,The Product exhibits good design.
184218,19/12/2023,BF1545,Other,Female,25,San Antonio,No,10,0,10,2,20,3,Had slight delays but the product was in good shape.
192227,15/02/2024,BF1543,Clothing,Male,33,San Francisco,No,100,0,100,3,300,1,"Unfortunately, the delivery was late."
139449,20/01/2024,BF1549,Clothing,Female,25,Austin,No,130,0,130,1,130,2,The promotion quality does not match the product
168070,26/09/2024,BF1553,Ornaments,Male,18,London,Yes,50,40,90,1,90,5,The product was delivered quickly.
163107,25/08/2024,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,4,Exquisite craftsmanship here is absolutely appreciated.
135780,20/10/2024,BF1548,Clothing,Female,27,London,Yes,65,40,105,1,105,4,Exquisite craftsmanship here is absolutely appreciated.
138768,06/03/2024,BF1548,Clothing,Male,28,Manchester,Yes,65,40,105,1,105,5,The product was affordable here compared to other brands.
133935,16/04/2024,BF1544,Other,Male,24,New York,No,9,0,9,2,18,5,Incredible detailing was clearly evident.
193605,05/04/2024,BF1545,Other,Male,21,Liverpool,Yes,10,40,50,1,50,1,Low quality products are a usual here these days.
132689,21/04/2024,BF1554,Ornaments,Male,29,Miami,No,20,0,20,1,20,5,Discount deals was greatly appreciated.
123840,20/09/2024,BF1551,Ornaments,Male,34,Portland,No,15,0,15,4,60,1,The promotion quality does not match the product
180476,29/02/2024,BF1553,Ornaments,Female,24,Manchester,Yes,50,40,90,2,180,5,The Product exhibits good design.
173951,05/02/2024,BF1551,Ornaments,Male,33,Sacramento,No,15,0,15,1,15,4,The delivery team handled the product with care.
168749,02/03/2024,BF1548,Clothing,Male,20,Detroit,No,65,0,65,1,65,1,There is clear evidence of subpar detailing.
167082,03/10/2024,BF1543,Clothing,Female,20,Las Vegas,No,100,0,100,2,200,4,The delivery team handled the product with care.
134606,08/04/2024,BF1543,Clothing,Female,32,Liverpool,Yes,100,40,140,1,140,3,Had slight delays but the product was in good shape.
178674,22/04/2024,BF1551,Ornaments,Female,21,Toronto,Yes,15,25,40,3,120,4,The product was affordable here compared to other brands.
155829,13/11/2023,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,1,There is clear evidence of subpar detailing.
169753,13/07/2024,BF1543,Clothing,Male,31,New Jersey,No,100,0,100,5,500,5,The product was delivered quickly.
167695,11/12/2023,BF1552,Ornaments,Female,26,Paris,Yes,45,50,95,2,190,1,Never buying from here again.
158619,31/01/2024,BF1545,Other,Female,24,San Francisco,No,10,0,10,1,10,4,Premium quality as usual.
131132,03/02/2024,BF1544,Other,Male,24,Cleveland,No,9,0,9,1,9,4,Premium quality as usual.
132399,26/01/2024,BF1548,Clothing,Male,20,San Francisco,No,65,0,65,2,130,4,The product was affordable here compared to other brands.
198208,21/09/2024,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,5,The delivery team handled the product with care.
194476,09/02/2024,BF1544,Other,Female,31,Detroit,No,9,0,9,3,27,1,The product had an underwhelming design.
137794,20/01/2024,BF1550,Clothing,Male,23,New Jersey,No,97,0,97,1,97,2,"Unfortunately, the delivery was late."
158342,30/03/2024,BF1550,Clothing,Male,34,New Jersey,No,97,0,97,1,97,3,Not as expected.
132788,03/11/2024,BF1546,Clothing,Male,19,New Jersey,No,118,0,118,1,118,5,Lack of delivery delays is greatly appreciated.
131843,24/09/2024,BF1549,Clothing,Male,34,Detroit,No,130,0,130,3,390,4,The product was delivered quickly.
169590,02/12/2023,BF1546,Clothing,Female,35,Cleveland,No,118,0,118,4,472,4,Exquisite craftsmanship here is absolutely appreciated.
172697,16/11/2023,BF1551,Ornaments,Male,34,Las Vegas,No,15,0,15,1,15,3,Had slight delays but the product was in good shape.
130779,03/08/2024,BF1548,Clothing,Female,18,Cleveland,No,65,0,65,2,130,3,Expected much better
152864,12/11/2023,BF1551,Ornaments,Male,32,Portland,No,15,0,15,1,15,4,The product was delivered quickly.
122419,10/04/2024,BF1551,Ornaments,Male,33,Portland,No,15,0,15,1,15,4,Lack of delivery delays is greatly appreciated.
155500,05/02/2024,BF1551,Ornaments,Female,27,Paris,Yes,15,50,65,1,65,5,Incredible detailing was clearly evident.
175860,24/07/2024,BF1551,Ornaments,Female,21,Miami,No,15,0,15,2,30,5,The Product exhibits good design.
186716,11/12/2023,BF1551,Ornaments,Female,19,New York,No,15,0,15,4,60,4,The product was affordable here compared to other brands.
187116,26/02/2024,BF1546,Clothing,Female,31,Memphis,No,118,0,118,1,118,4,Great design is one of the major positives of this product.
121074,13/05/2024,BF1550,Clothing,Male,35,Cleveland,No,97,0,97,1,97,1,Waste of Money.
173964,22/05/2024,BF1549,Clothing,Male,28,Detroit,No,130,0,130,2,260,1,"Unfortunately, the delivery was late."
145870,22/01/2024,BF1550,Clothing,Male,18,Cardiff,Yes,97,40,137,2,274,4,Premium quality as usual.
136732,12/06/2024,BF1544,Other,Male,26,Cardiff,Yes,9,40,49,2,98,5,Incredible detailing was clearly evident.
191495,14/12/2023,BF1546,Clothing,Female,21,Glasgow,Yes,118,40,158,3,474,3,The handling was questionable but incurred only minute damages.
169331,20/03/2024,BF1545,Other,Female,23,San Francisco,No,10,0,10,2,20,3,It was ok.
151140,10/12/2023,BF1551,Ornaments,Male,29,Detroit,No,15,0,15,2,30,3,The handling was questionable but incurred only minute damages.
187087,21/11/2023,BF1551,Ornaments,Male,35,Detroit,No,15,0,15,1,15,4,The product was affordable here compared to other brands.
131554,20/10/2024,BF1551,Ornaments,Male,23,Pittsburgh,No,15,0,15,1,15,3,Had slight delays but the product was in good shape.
123826,08/05/2024,BF1549,Clothing,Male,21,Miami,No,130,0,130,1,130,1,The product had poor quality.
135782,14/03/2024,BF1554,Ornaments,Female,27,Portland,No,20,0,20,1,20,4,The product was delivered quickly.
123608,28/07/2024,BF1548,Clothing,Male,33,Cleveland,No,65,0,65,1,65,5,The Product exhibits good design.
123848,24/03/2024,BF1551,Ornaments,Male,20,Detroit,No,15,0,15,1,15,4,Exquisite craftsmanship here is absolutely appreciated.
165876,18/07/2024,BF1545,Other,Female,18,Detroit,No,10,0,10,1,10,5,The product had excellent quality.
192958,20/11/2023,BF1551,Ornaments,Male,34,Las Vegas,No,15,0,15,2,30,4,Lack of delivery delays is greatly appreciated.
169192,29/09/2024,BF1551,Ornaments,Male,30,Detroit,No,15,0,15,1,15,5,Great design is one of the major positives of this product.
158535,05/01/2024,BF1552,Ornaments,Female,28,Cardiff,Yes,45,40,85,3,255,2,Careless handling by the delivery team.
147567,27/06/2024,BF1547,Ornaments,Male,23,Detroit,No,32,0,32,2,64,5,The product was affordable here compared to other brands.
137542,22/12/2023,BF1555,Other,Female,25,Austin,No,23,0,23,1,23,4,The delivery team handled the product with care.
196642,10/01/2024,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,4,Exquisite craftsmanship here is absolutely appreciated.
186569,24/10/2024,BF1550,Clothing,Male,32,Detroit,No,97,0,97,5,485,5,Lack of delivery delays is greatly appreciated.
194909,13/11/2023,BF1552,Ornaments,Female,25,San Antonio,No,45,0,45,2,90,1,The promotion quality does not match the product
170579,08/03/2024,BF1544,Other,Male,27,San Antonio,No,9,0,9,1,9,3,Had slight delays but the product was in good shape.
138353,24/11/2023,BF1546,Clothing,Female,21,Detroit,No,118,0,118,1,118,1,Careless handling by the delivery team.
199565,13/06/2024,BF1555,Other,Female,20,San Antonio,No,23,0,23,2,46,3,The handling was questionable but incurred only minute damages.
147676,31/07/2024,BF1551,Ornaments,Male,34,New York,No,15,0,15,5,75,5,The Product exhibits good design.
138964,12/08/2024,BF1544,Other,Male,29,New Delhi,Yes,9,70,79,1,79,5,The delivery team handled the product with care.
141276,28/10/2024,BF1549,Clothing,Male,18,New Jersey,No,130,0,130,1,130,3,It was ok.
181005,22/03/2024,BF1549,Clothing,Female,25,Toronto,Yes,130,25,155,1,155,4,Great design is one of the major positives of this product.
149143,01/06/2024,BF1554,Ornaments,Female,23,Las Vegas,No,20,0,20,1,20,4,The product had excellent quality.
171098,25/09/2024,BF1550,Clothing,Female,25,Sacramento,No,97,0,97,1,97,4,The product had excellent quality.
191971,23/02/2024,BF1552,Ornaments,Male,31,Miami,No,45,0,45,4,180,4,The product was affordable here compared to other brands.
153977,01/02/2024,BF1555,Other,Male,32,New Jersey,No,23,0,23,1,23,5,The Product exhibits good design.
175759,24/11/2023,BF1545,Other,Male,28,Las Vegas,No,10,0,10,3,30,5,Discount deals was greatly appreciated.
153093,14/11/2023,BF1544,Other,Male,19,London,Yes,9,40,49,2,98,5,Discount deals was greatly appreciated.
134449,24/09/2024,BF1548,Clothing,Female,26,Portland,No,65,0,65,1,65,2,"Unfortunately, the delivery was late."
139314,28/05/2024,BF1543,Clothing,Male,31,Mumbai,Yes,100,70,170,1,170,4,Lack of delivery delays is greatly appreciated.
199994,30/10/2024,BF1553,Ornaments,Male,18,Las Vegas,No,50,0,50,3,150,5,Lack of delivery delays is greatly appreciated.
130113,22/09/2024,BF1544,Other,Female,18,New York,No,9,0,9,1,9,4,Discount deals was greatly appreciated.
170515,03/04/2024,BF1548,Clothing,Male,30,Sacramento,No,65,0,65,1,65,4,Lack of delivery delays is greatly appreciated.
153570,31/08/2024,BF1543,Clothing,Male,35,Memphis,No,100,0,100,1,100,3,It was ok.
146290,30/08/2024,BF1545,Other,Male,29,San Francisco,No,10,0,10,3,30,5,The delivery team handled the product with care.
168381,04/04/2024,BF1544,Other,Male,19,Memphis,No,9,0,9,3,27,4,The delivery team handled the product with care.
165081,13/11/2023,BF1550,Clothing,Female,26,Glasgow,Yes,97,40,137,2,274,3,Average product
183974,07/10/2024,BF1545,Other,Male,34,Cleveland,No,10,0,10,2,20,3,Not as expected.
125537,16/01/2024,BF1548,Clothing,Male,29,Memphis,No,65,0,65,2,130,2,Careless handling by the delivery team.
191604,17/09/2024,BF1545,Other,Male,35,Miami,No,10,0,10,1,10,2,There is clear evidence of subpar detailing.
189849,08/02/2024,BF1547,Ornaments,Male,31,Portland,No,32,0,32,2,64,5,Great design is one of the major positives of this product.
127493,28/08/2024,BF1545,Other,Male,29,Pittsburgh,No,10,0,10,5,50,4,The product was affordable here compared to other brands.
124056,18/11/2023,BF1547,Ornaments,Female,18,Sacramento,No,32,0,32,1,32,5,Great design is one of the major positives of this product.
199100,04/02/2024,BF1544,Other,Male,35,Las Vegas,No,9,0,9,1,9,5,Premium quality as usual.
185431,27/02/2024,BF1551,Ornaments,Female,26,Dublin,Yes,15,40,55,1,55,5,Exquisite craftsmanship here is absolutely appreciated.
155300,12/09/2024,BF1551,Ornaments,Female,22,Manchester,Yes,15,40,55,5,275,1,Clear delays in delivery.
140731,12/12/2023,BF1550,Clothing,Female,30,Toronto,Yes,97,25,122,1,122,3,Had slight delays but the product was in good shape.
166773,12/11/2023,BF1554,Ornaments,Female,24,Austin,No,20,0,20,2,40,2,Waste of Money.
186643,20/12/2023,BF1548,Clothing,Male,24,Sacramento,No,65,0,65,1,65,5,Exquisite craftsmanship here is absolutely appreciated.
182192,02/02/2024,BF1546,Clothing,Male,27,Memphis,No,118,0,118,1,118,4,Lack of delivery delays is greatly appreciated.
196273,19/08/2024,BF1548,Clothing,Female,26,London,Yes,65,40,105,1,105,4,Incredible detailing was clearly evident.
126824,02/05/2024,BF1551,Ornaments,Male,29,Portland,No,15,0,15,5,75,5,Discount deals was greatly appreciated.
148399,06/01/2024,BF1547,Ornaments,Male,33,Sacramento,No,32,0,32,1,32,5,Premium quality as usual.
146753,25/02/2024,BF1553,Ornaments,Male,30,San Antonio,No,50,0,50,2,100,1,Never buying from here again.
148705,04/01/2024,BF1549,Clothing,Male,29,Toronto,Yes,130,25,155,1,155,4,The product had excellent quality.
166666,10/11/2023,BF1545,Other,Female,35,Dublin,Yes,10,40,50,1,50,3,Average product
182416,18/12/2023,BF1555,Other,Female,32,New Delhi,Yes,23,70,93,2,186,4,Great design is one of the major positives of this product.
158629,14/05/2024,BF1552,Ornaments,Female,32,New York,No,45,0,45,1,45,4,Discount deals was greatly appreciated.
158850,25/08/2024,BF1548,Clothing,Male,28,Glasgow,Yes,65,40,105,1,105,4,Incredible detailing was clearly evident.
128193,10/05/2024,BF1551,Ornaments,Male,23,Cleveland,No,15,0,15,2,30,5,Incredible detailing was clearly evident.
191979,25/07/2024,BF1554,Ornaments,Male,35,Cleveland,No,20,0,20,1,20,2,There is clear evidence of subpar detailing.
140154,19/11/2023,BF1544,Other,Male,18,London,Yes,9,40,49,1,49,5,Lack of delivery delays is greatly appreciated.
127437,08/06/2024,BF1544,Other,Male,23,San Antonio,No,9,0,9,1,9,3,It was ok.
194812,08/02/2024,BF1548,Clothing,Female,34,Miami,No,65,0,65,4,260,5,Great design is one of the major positives of this product.
199077,24/03/2024,BF1544,Other,Male,23,Memphis,No,9,0,9,1,9,5,Lack of delivery delays is greatly appreciated.
134543,01/08/2024,BF1543,Clothing,Male,20,New Delhi,Yes,100,70,170,4,680,5,The Product exhibits good design.
177295,05/04/2024,BF1548,Clothing,Female,24,Manchester,Yes,65,40,105,2,210,5,Exquisite craftsmanship here is absolutely appreciated.
195115,25/05/2024,BF1543,Clothing,Male,18,Liverpool,Yes,100,40,140,2,280,4,The product was affordable here compared to other brands.
134487,19/03/2024,BF1551,Ornaments,Male,22,Austin,No,15,0,15,4,60,5,The product was affordable here compared to other brands.
161617,01/05/2024,BF1553,Ornaments,Male,28,New York,No,50,0,50,4,200,4,Lack of delivery delays is greatly appreciated.
123244,30/11/2023,BF1551,Ornaments,Male,34,Pittsburgh,No,15,0,15,3,45,3,Not as expected.
124180,29/04/2024,BF1548,Clothing,Male,22,Detroit,No,65,0,65,2,130,4,The product was affordable here compared to other brands.
199233,16/05/2024,BF1548,Clothing,Male,31,Miami,No,65,0,65,1,65,5,Lack of delivery delays is greatly appreciated.
167366,26/12/2023,BF1550,Clothing,Female,25,San Antonio,No,97,0,97,4,388,5,Discount deals was greatly appreciated.
136897,20/05/2024,BF1552,Ornaments,Male,29,San Antonio,No,45,0,45,2,90,2,"Unfortunately, the delivery was late."
196235,24/02/2024,BF1548,Clothing,Male,29,New York,No,65,0,65,5,325,5,Premium quality as usual.
121457,23/10/2024,BF1551,Ornaments,Male,18,Paris,Yes,15,50,65,1,65,4,Lack of delivery delays is greatly appreciated.
197590,20/01/2024,BF1543,Clothing,Male,19,Portland,No,100,0,100,3,300,3,Had slight delays but the product was in good shape.
149173,05/07/2024,BF1545,Other,Female,23,New York,No,10,0,10,1,10,4,The delivery team handled the product with care.
150160,25/06/2024,BF1551,Ornaments,Female,20,San Antonio,No,15,0,15,1,15,4,The Product exhibits good design.
197758,15/03/2024,BF1546,Clothing,Male,33,San Antonio,No,118,0,118,1,118,5,The product was delivered quickly.
151631,01/05/2024,BF1551,Ornaments,Male,26,Portland,No,15,0,15,1,15,2,The promotion quality does not match the product
194418,02/09/2024,BF1548,Clothing,Male,30,Miami,No,65,0,65,4,260,4,Discount deals was greatly appreciated.
183753,30/03/2024,BF1554,Ornaments,Female,31,Cardiff,Yes,20,40,60,4,240,4,Incredible detailing was clearly evident.
154579,27/03/2024,BF1550,Clothing,Male,35,Glasgow,Yes,97,40,137,2,274,5,Incredible detailing was clearly evident.
177667,20/08/2024,BF1552,Ornaments,Male,22,San Francisco,No,45,0,45,3,135,3,Had slight delays but the product was in good shape.
183737,19/12/2023,BF1551,Ornaments,Male,34,Austin,No,15,0,15,4,60,3,Had slight delays but the product was in good shape.
181320,31/05/2024,BF1551,Ornaments,Male,23,Montreal,Yes,15,25,40,1,40,2,The product had an underwhelming design.
166728,25/01/2024,BF1547,Ornaments,Male,29,Memphis,No,32,0,32,1,32,3,Average product
180784,22/11/2023,BF1552,Ornaments,Male,28,Manchester,Yes,45,40,85,1,85,5,Great design is one of the major positives of this product.
145855,26/06/2024,BF1548,Clothing,Female,22,Dublin,Yes,65,40,105,1,105,3,The handling was questionable but incurred only minute damages.
122636,18/04/2024,BF1553,Ornaments,Male,29,Portland,No,50,0,50,1,50,5,Lack of delivery delays is greatly appreciated.
153495,05/05/2024,BF1545,Other,Male,28,Pittsburgh,No,10,0,10,1,10,4,The product had excellent quality.
195640,28/04/2024,BF1551,Ornaments,Male,21,Cleveland,No,15,0,15,3,45,1,The product had an underwhelming design.
122077,16/10/2024,BF1551,Ornaments,Male,25,Portland,No,15,0,15,1,15,5,Great design is one of the major positives of this product.
192918,09/08/2024,BF1554,Ornaments,Male,18,Portland,No,20,0,20,1,20,4,Discount deals was greatly appreciated.
188553,28/03/2024,BF1549,Clothing,Male,33,Detroit,No,130,0,130,1,130,4,The product had excellent quality.
171654,21/06/2024,BF1548,Clothing,Male,32,San Antonio,No,65,0,65,2,130,4,Great design is one of the major positives of this product.
167856,25/05/2024,BF1543,Clothing,Male,22,New Jersey,No,100,0,100,1,100,5,The delivery team handled the product with care.
156566,20/11/2023,BF1550,Clothing,Male,21,Miami,No,97,0,97,1,97,3,Had slight delays but the product was in good shape.
124563,29/12/2023,BF1548,Clothing,Male,27,Paris,Yes,65,50,115,1,115,4,Premium quality as usual.
122527,30/05/2024,BF1545,Other,Female,22,Detroit,No,10,0,10,1,10,5,Great design is one of the major positives of this product.
132714,01/04/2024,BF1548,Clothing,Male,25,Sacramento,No,65,0,65,1,65,1,Waste of Money.
160595,06/12/2023,BF1543,Clothing,Male,25,Portland,No,100,0,100,1,100,3,Nothing too special.
150539,26/06/2024,BF1549,Clothing,Male,20,Las Vegas,No,130,0,130,1,130,2,There is clear evidence of subpar detailing.
179061,07/02/2024,BF1550,Clothing,Male,35,Sacramento,No,97,0,97,1,97,3,The handling was questionable but incurred only minute damages.
155374,01/05/2024,BF1548,Clothing,Male,21,San Francisco,No,65,0,65,1,65,4,The product was delivered quickly.
156992,28/07/2024,BF1545,Other,Male,27,Cardiff,Yes,10,40,50,3,150,4,The product had excellent quality.
180627,25/02/2024,BF1547,Ornaments,Male,22,New Delhi,Yes,32,70,102,1,102,5,Incredible detailing was clearly evident.
132929,20/07/2024,BF1548,Clothing,Male,25,Las Vegas,No,65,0,65,1,65,4,Incredible detailing was clearly evident.
169686,06/09/2024,BF1548,Clothing,Male,18,Miami,No,65,0,65,2,130,4,The product was affordable here compared to other brands.
125304,14/06/2024,BF1548,Clothing,Male,28,San Antonio,No,65,0,65,1,65,3,The handling was questionable but incurred only minute damages.
132537,29/03/2024,BF1551,Ornaments,Female,31,New York,No,15,0,15,3,45,5,Discount deals was greatly appreciated.
142468,04/05/2024,BF1552,Ornaments,Female,33,Las Vegas,No,45,0,45,2,90,5,The product was delivered quickly.
170125,09/09/2024,BF1553,Ornaments,Male,24,Manchester,Yes,50,40,90,1,90,5,The product had excellent quality.
193227,30/05/2024,BF1551,Ornaments,Male,27,New York,No,15,0,15,2,30,5,The product had excellent quality.
134411,13/07/2024,BF1543,Clothing,Male,32,Cleveland,No,100,0,100,1,100,5,Premium quality as usual.
175881,30/05/2024,BF1545,Other,Male,22,Memphis,No,10,0,10,1,10,5,The delivery team handled the product with care.
159414,22/04/2024,BF1548,Clothing,Male,33,Cleveland,No,65,0,65,2,130,5,The product had excellent quality.
155137,06/12/2023,BF1544,Other,Female,22,Paris,Yes,9,50,59,2,118,2,Clear delays in delivery.
174788,16/05/2024,BF1543,Clothing,Male,25,Pittsburgh,No,100,0,100,1,100,4,Discount deals was greatly appreciated.
182604,19/04/2024,BF1554,Ornaments,Male,21,San Francisco,No,20,0,20,1,20,3,Expected much better
186493,04/05/2024,BF1543,Clothing,Male,24,New Jersey,No,100,0,100,4,400,4,The Product exhibits good design.
125592,10/09/2024,BF1544,Other,Male,33,Liverpool,Yes,9,40,49,1,49,5,Incredible detailing was clearly evident.
174567,12/04/2024,BF1543,Clothing,Female,30,San Francisco,No,100,0,100,4,400,1,The product had an underwhelming design.
177508,18/09/2024,BF1547,Ornaments,Male,25,Austin,No,32,0,32,1,32,4,Lack of delivery delays is greatly appreciated.
131784,09/08/2024,BF1544,Other,Female,30,Portland,No,9,0,9,1,9,4,The Product exhibits good design.
152883,31/08/2024,BF1544,Other,Female,32,Cardiff,Yes,9,40,49,4,196,5,The delivery team handled the product with care.
127588,29/11/2023,BF1551,Ornaments,Female,28,San Antonio,No,15,0,15,1,15,5,Great design is one of the major positives of this product.
163608,05/03/2024,BF1550,Clothing,Male,31,Memphis,No,97,0,97,1,97,1,The product is not as advertised.
159392,26/02/2024,BF1555,Other,Male,34,Memphis,No,23,0,23,1,23,1,The promotion quality does not match the product
157659,27/01/2024,BF1545,Other,Male,20,San Antonio,No,10,0,10,1,10,5,The product was delivered quickly.
152161,25/03/2024,BF1543,Clothing,Male,26,San Francisco,No,100,0,100,2,200,4,Incredible detailing was clearly evident.
138323,03/02/2024,BF1543,Clothing,Male,26,Austin,No,100,0,100,2,200,4,The product was delivered quickly.
145046,30/05/2024,BF1548,Clothing,Male,27,San Francisco,No,65,0,65,1,65,4,Lack of delivery delays is greatly appreciated.
162525,08/02/2024,BF1546,Clothing,Male,23,Portland,No,118,0,118,2,236,4,Exquisite craftsmanship here is absolutely appreciated.
